"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 21 10:46:04 UTC 2026","Mon Sep 21 10:46:05 UTC 2026","1351","","test_form","","","","Успешный вход в систему","Проверяем, что с правильными логином и паролем происходит вход и отображается сообщение об успехе"
"passed","Mon Sep 21 10:46:06 UTC 2026","Mon Sep 21 10:46:06 UTC 2026","560","","test_form","","","","Неуспешный вход с неверными данными","Проверяем, что при вводе неправильных логина и пароля появляется сообщение об ошибке"
