"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что при вводе неправильных логина и пароля появляется сообщение об ошибке","2568","Неуспешный вход с неверными данными","","2026-05-24","passed","2026-05-24","","test_form","",""
"Проверяем, что с правильными логином и паролем происходит вход и отображается сообщение об успехе","3217","Успешный вход в систему","","2026-05-24","passed","2026-05-24","","test_form","",""
